Close,Volume,Intra-day variation,Day of Week,Change,RSI (14),20-VWAP,Month,Day,BUY/NO_BUY 5=>15,QuoteDate,5 Day Profit,10 Day Profit,15 Day Profit,30 Day Profit
45.02,71000,0.790000999999997,1,0,0,0,2,6,-1,'2006-02-06',-0.03376,0.00133,-0.00711,-0.013327454464683
43.869999,203500,0.880001,2,-1.150001,0,0,2,7,-1,'2006-02-07',0.00866,0.04650,0.02120,0.016184249286169
44.610001,553500,1.169998,3,0.740001999999997,0,0,2,8,-1,'2006-02-08',0.00157,0.02242,0.00426,0.025106455388782
44.279999,70700,0.600002000000004,4,-0.330002,0,0,2,9,-1,'2006-02-09',0.02078,0.02416,-0.00429,0.036811224860236
43.799999,264100,0.659998999999999,5,-0.479999999999997,0,0,2,10,-1,'2006-02-10',0.02306,0.03379,-0.00434,0.049543425788663
43.5,364700,0.409999999999997,1,-0.299999,0,0,2,13,-1,'2006-02-13',0.03632,0.02759,-0.01563,0.045977011494253
44.25,639200,1.459999,2,0.75,0,0,2,14,-1,'2006-02-14',0.03751,0.01243,-0.03390,0.029378508474576
44.68,571100,0.850002000000004,3,0.43,0,0,2,15,-1,'2006-02-15',0.02081,0.00269,-0.06043,0.002909601611459
45.200001,253200,0.620003000000004,4,0.520001000000001,0,0,2,16,-1,'2006-02-16',0.00332,-0.02456,-0.05885,-0.009955774116023
44.810001,57000,0.610001000000004,5,-0.390000000000001,0,0,2,17,-1,'2006-02-17',0.01049,-0.02678,-0.04419,-0.015175183772033
45.080002,243800,0.659999999999997,2,0.270001000000001,0,0,2,21,-1,'2006-02-21',-0.00843,-0.05013,-0.01154,-0.01064782561456
45.91,333600,1.040001,3,0.829997999999996,0,0,2,22,-1,'2006-02-22',-0.02418,-0.06883,-0.03594,0.012633456763233
45.610001,307200,0.799999999999997,4,-0.299999,0,0,2,23,-1,'2006-02-23',-0.01776,-0.07959,-0.00636,0.008989234619837
45.349998,144500,0.32,5,-0.260002999999998,0,0,2,24,-1,'2006-02-24',-0.02778,-0.06196,0.01742,0.009481830627644
45.279999,300400,0.699995999999999,1,-0.069999000000003,51.9061496289225,0,2,27,-1,'2006-02-27',-0.03688,-0.05411,0.00044,0.000220892231027
44.700001,237200,0.630001,2,-0.579997999999996,47.5511556169378,0,2,28,-1,'2006-02-28',-0.04206,-0.00313,-0.00626,0.002684541326968
44.799999,166400,0.349997999999999,3,0.099997999999999,48.3556829216775,0,3,1,-1,'2006-03-01',-0.04576,-0.01205,-0.00491,-0.014062522635324
44.799999,339300,0.589999999999996,4,0,48.3556829216775,0,3,2,-1,'2006-03-02',-0.06295,0.01161,0.02076,-0.024553527333784
44.09,452400,0.389999000000003,5,-0.709998999999996,42.9328039996901,0,3,3,-1,'2006-03-03',-0.03516,0.04650,0.04128,-0.013381719210706
